"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"Rb1",8.11361,8.7321,10.828,16.0251,12.3683,30.3343,10.4435,9.61036,9.51521
"Rb1cc1",3.40518,3.5393,4.03751,3.88401,3.49733,6.53522,4.6183,5.74551,4.09991
"Rbak",1.02633,1.02967,2.31809,0.929071,0.537743,0,0.764782,0.334215,0.601885
"Rbakdn",0,0,5.77135,0,0,0,0,0,0
"Rbbp4",94.5404,91.8466,93.7421,124.311,145.136,129.56,83.2529,117.511,100.842
"Rbbp5",13.1791,13.5492,16.1097,7.7486,16.4462,4.741,15.5921,12.0819,9.66646
"Rbbp6",20.7807,19.2129,24.5741,23.6398,22.2938,27.1202,23.6867,27.8267,23.1602
"Rbbp7",238.812,201.696,234.854,243.896,346.759,361.29,241.867,311.007,310.73
"Rbbp8",8.18556,6.37714,7.54876,7.18271,12.9928,7.41586,7.39094,12.9955,13.0555
"Rbbp8nl",0,0,0,0,0,0,0,0,0
"Rbbp9",0.713849,1.00263,0.940453,3.01566,2.61845,6.22735,2.48247,4.34041,4.55789
"Rbck1",26.8745,32.3043,26.0079,24.212,26.721,24.073,31.5576,25.9482,29.416
"Rbfa",23.7564,28.7638,17.8072,15.5729,30.0483,17.8657,28.8439,26.1497,20.1746
"Rbfox1",0,0,0,0,0,0,0,0,0
"Rbfox2",0,0,0,0,0,0,0,0,0
"Rbfox3",0.356845,0,0,0,0,0,0,0,0
"Rbks",10.7473,15.8888,13.4137,10.7531,18.6734,29.6069,10.3272,9.02814,14.7044
"Rbl1",25.025,24.9306,22.8321,16.2692,22.7507,16.8318,18.9696,18.0523,23.7003
"Rbl2",5.26303,8.5084,5.61338,10.2857,9.41167,11.5051,11.907,8.1001,6.39388
"Rbm10",26.9433,23.547,19.6293,19.7323,15.1505,22.6602,20.1873,21.2189,22.9618
"Rbm11",0,0,0,0,0,0,0.486713,0,0
"Rbm12",24.8599,21.2334,18.3242,26.9912,34.4001,47.7148,34.438,35.2478,28.231
"Rbm12b1",1.05842,0,0,0,0.55462,0,0.394364,0.689516,1.03438
"Rbm12b2",0.722725,2.23325,0.571288,1.83189,1.0604,0,2.262,1.64789,1.97767
"Rbm14",61.9015,75.4092,64.4675,61.7267,48.9394,57.2128,77.0389,53.3604,47.7588
"Rbm14-rbm4",0.00732666,2.20727,0.90986,0,6.05113,1.50745,0,0.0669378,6.30276
"Rbm15",26.733,23.8942,23.4127,18.2876,28.4147,25.1759,16.6388,20.7798,26.1852
"Rbm15b",10.4326,10.234,7.1994,9.44411,7.89646,18.7798,6.9105,3.02063,7.02367
"Rbm17",57.3478,54.0249,71.8668,50.9645,62.8502,36.6059,75.6988,40.663,57.8907
"Rbm18",3.09763,2.78963,1.63218,5.03427,4.54511,0,4.84773,6.79294,5.16404
"Rbm19",13.049,16.059,10.3148,13.3877,14.5873,11.9255,8.1034,6.80074,12.4126
"Rbm20",0,0,0,0,0,0,0,0,0
"Rbm22",57.0887,64.4954,47.0886,51.9043,60.0902,60.6285,69.9172,71.3097,62.1476
"Rbm24",0.154203,0,0,0,0,0,0,0,0
"Rbm25",52.8079,57.3296,44.6593,72.3329,80.7801,88.5142,63.1526,69.6683,71.1477
"Rbm26",27.344,24.1508,38.2264,21.1861,31.5353,33.3329,33.6348,30.2208,28.4267
"Rbm27",14.9162,14.6872,11.5476,16.0782,27.3567,25.488,18.8504,17.1806,25.037
"Rbm28",21.1732,24.6458,23.5793,13.3428,26.6034,32.6554,28.6797,24.8055,26.7286
"Rbm3",404.833,331.704,377.693,448.89,568.832,457.537,464.815,639.371,621.031
"Rbm31y",0,0,0,0,0,0,0,0,0
"Rbm33",8.32093,9.22319,8.91514,10.7997,9.37716,9.1829,11.3742,6.5147,8.36709
"Rbm34",7.50471,10.5408,10.2673,9.14529,21.7046,17.6261,14.6802,14.8081,15.5994
"Rbm38",149.056,156.079,127.662,174.635,106.524,126.67,137.575,85.8108,119.607
"Rbm39",82.2927,67.7893,86.1058,109.209,132.52,147.645,124.915,152.159,127.728
"Rbm3os",12.3993,7.17052,5.76539,9.24366,8.02612,12.7255,20.9256,6.65216,24.9481
"Rbm4",9.23389,7.04997,10.0599,12.2618,12.9662,9.17378,13.1556,10.1068,8.18054
"Rbm41",3.44781,1.93694,0.908458,4.36959,2.52908,6.01413,2.99669,7.33731,3.77331
"Rbm42",110.318,126.138,106.854,131.935,133.365,103.014,94.8291,85.7351,91.8379
